ID,Título,Afiliación,País,Año de publicación,Revista,Factor de impacto,Citas
1,Estudio sobre la ciencia abierta 0,Universidad Nacional Autónoma de México,Brasil,2022.0,Nature,12.25,447.0
17,Estudio sobre la ciencia abierta 16,Universidad de Buenos Aires,Argentina,2020.0,Journal of Open Science,4.58,156.0
22,Estudio sobre la ciencia abierta 21,Universidad de los Andes,Peru,2020.0,PLoS ONE,13.81,124.0
26,Estudio sobre la ciencia abierta 25,Universidad Nacional Autónoma de México,Colombia,2023.0,Documentos CEDE,3.79,468.0
35,Estudio sobre la ciencia abierta 34,Universidad de Buenos Aires,Argentina,2023.0,Nature,6.0,277.0
37,Estudio sobre la ciencia abierta 36,Universidade de São Paulo,México,2022.0,Documentos CEDE,1.87,454.0
64,Estudio sobre la ciencia abierta 63,Universidad Nacional Autónoma de México,Argentina,2022.0,Nature,13.55,184.0
66,Estudio sobre la ciencia abierta 65,Universidade de São Paulo,Colombia,2022.0,Documentos CEDE,14.26,2.0
70,Estudio sobre la ciencia abierta 69,Universidad Nacional Autónoma de México,México,2020.0,Journal of Open Science,4.69,291.0
76,Estudio sobre la ciencia abierta 75,Universidad Nacional Autónoma de México,Chile,2020.0,Science,12.54,268.0
84,Estudio sobre la ciencia abierta 83,Universidade de São Paulo,Brasil,2021.0,Nature,14.61,316.0
89,Estudio sobre la ciencia abierta 88,Pontificia Universidad Católica de Chile,Brasil,2023.0,Science,6.65,334.0
92,Estudio sobre la ciencia abierta 91,Pontificia Universidad Católica de Chile,Argentina,2022.0,Documentos CEDE,5.89,57.0
94,Estudio sobre la ciencia abierta 93,Universidad de los Andes,Argentina,2023.0,PLoS ONE,9.31,16.0
100,Estudio sobre la ciencia abierta 99,Universidade de São Paulo,Argentina,2020.0,PLoS ONE,0.97,42.0
