ID,Título,Afiliación,País,Año de publicación,Revista,Factor de impacto,Citas
1,Estudio sobre la ciencia abierta 0,Universidad Nacional Autónoma de México,Brasil,2022,Nature,12.25,447
2,Estudio sobre la ciencia abierta 1,Universidad de los Andes,Peru,2022,Nature,0.71,
3,Estudio sobre la ciencia abierta 2,Universidad de Buenos Aires,Brazil,2020,Documentos CEDE,11.15,
4,Estudio sobre la ciencia abierta 3,Universidad Nacional Autónoma de México,Peru,20XX,Nature,13.39,
5,Estudio sobre la ciencia abierta 4,Universidad Nacional Autónoma de México,Colombia,20XX,Journal of Open Science,6.11,240
6,Estudio sobre la ciencia abierta 5,Universidade de São Paulo,Argentna,2021,Journal of Open Science,8.86,cien
7,,Universidad de los Andes,Brasil,2023,Journal of Open Science,13.13,
8,Estudio sobre la ciencia abierta 7,Universidade de São Paulo,México,2021,Nature,13.53,cien
9,Estudio sobre la ciencia abierta 8,Universidade de São Paulo,Brasil,2020,Documentos CEDE,4.59,cien
10,,Universidad de los Andes,Argentina,2022,Nature,13.23,cien
11,Estudio sobre la ciencia abierta 10,Universidad Nacional Autónoma de México,Colombia,20XX,Science,7.25,90
12,Estudio sobre la ciencia abierta 11,Pontificia Universidad Católica de Chile,Brasil,20XX,Nature,-1.83,233
13,,Universidade de São Paulo,Colombia,20XX,Documentos CEDE,-1.99,316
14,Estudio sobre la ciencia abierta 13,Universidad Nacional Autónoma de México,Argentina,20XX,Nature,11.53,193
15,Estudio sobre la ciencia abierta 14,Pontificia Universidad Católica de Chile,México,2022,PLoS ONE,14.25,
16,Estudio sobre la ciencia abierta 15,Universidade de São Paulo,México,2021,Documentos CEDE,-0.91,
17,Estudio sobre la ciencia abierta 16,Universidad de Buenos Aires,Argentina,2020,Journal of Open Science,4.58,156
18,Estudio sobre la ciencia abierta 17,Universidade de São Paulo,Brasil,2022,Science,7.09,
19,Estudio sobre la ciencia abierta 18,Universidad de Buenos Aires,Brasil,20XX,Nature,10.6,
20,,Pontificia Universidad Católica de Chile,Argentna,2022,Documentos CEDE,11.45,14
21,Estudio sobre la ciencia abierta 20,Universidad de los Andes,Brazil,2022,Journal of Open Science,-0.22,cien
22,Estudio sobre la ciencia abierta 21,Universidad de los Andes,Peru,2020,PLoS ONE,13.81,124
23,Estudio sobre la ciencia abierta 22,Universidade de São Paulo,Brasil,2020,Journal of Open Science,-0.63,
24,Estudio sobre la ciencia abierta 23,Universidad Nacional Autónoma de México,Chile,2022,Journal of Open Science,1.93,cien
25,Estudio sobre la ciencia abierta 24,Universidad de los Andes,Brazil,2023,Science,11.36,cien
26,Estudio sobre la ciencia abierta 25,Universidad Nacional Autónoma de México,Colombia,2023,Documentos CEDE,3.79,468
27,Estudio sobre la ciencia abierta 26,Universidad de Buenos Aires,México,2023,Journal of Open Science,14.5,
28,Estudio sobre la ciencia abierta 27,Universidad Nacional Autónoma de México,Peru,20XX,PLoS ONE,14.28,cien
29,Estudio sobre la ciencia abierta 28,Universidad de Buenos Aires,Argentna,2022,Science,11.95,cien
30,Estudio sobre la ciencia abierta 29,Universidad Nacional Autónoma de México,Brasil,20XX,Journal of Open Science,2.51,473
31,Estudio sobre la ciencia abierta 30,Pontificia Universidad Católica de Chile,Peru,2020,PLoS ONE,0.08,
32,Estudio sobre la ciencia abierta 31,Universidade de São Paulo,México,20XX,Nature,7.96,152
33,Estudio sobre la ciencia abierta 32,Universidade de São Paulo,Chile,20XX,PLoS ONE,12.29,
